"","logFC","AveExpr","t","P.Value","adj.P.Val","B","logP","Significant"
"1552578_a_at",-6.26428571428572,5.525,-3.68846084057575,0.0010002231732948,0.693615327925745,-4.57997217352395,0.158881318126978,"Not Significant"
"1552536_at",19.8285714285714,32.6928571428571,3.26005577932353,0.0030036424604468,0.693615327925745,-4.58263745950759,0.158881318126978,"Not Significant"
"1552743_at",-6.37142857142857,7.30714285714286,-3.16153371055351,0.00384616293184453,0.693615327925745,-4.58325902330914,0.158881318126978,"Not Significant"
"1552516_a_at",15.9857142857143,24.4214285714286,3.09133266057229,0.00458018122299805,0.693615327925745,-4.58370287949341,0.158881318126978,"Not Significant"
"1552302_at",28.5714285714286,37.7785714285714,3.07848311954179,0.00472830013313845,0.693615327925745,-4.58378417886898,0.158881318126978,"Not Significant"
"1553471_at",6.25,7.86785714285714,3.06833711777513,0.00484847652664364,0.693615327925745,-4.58384838162352,0.158881318126978,"Not Significant"
"1553618_at",6.2,8.24285714285714,3.06736295270077,0.00486016746294316,0.693615327925745,-4.58385454639273,0.158881318126978,"Not Significant"
"1552829_at",23.5428571428571,37.9642857142857,2.99847380676276,0.00575866436638868,0.719113212752786,-4.58429059050249,0.143202731587514,"Not Significant"
"1553141_at",9.94285714285714,17.8928571428571,2.82162188814499,0.00884364481885822,0.808277465020327,-4.58540896637826,0.0924395292724004,"Not Significant"
"1553264_a_at",8.34285714285713,11.9928571428571,2.67615528050542,0.0124897923716611,0.808277465020327,-4.58632429422369,0.0924395292724004,"Not Significant"
"1552777_a_at",-2.37142857142857,4.01428571428571,-2.67016900585479,0.0126664826806067,0.808277465020327,-4.58636181405939,0.0924395292724004,"Not Significant"
"1552991_at",3.67142857142857,5.68571428571429,2.66240460055011,0.0128991359711409,0.808277465020327,-4.5864104576026,0.0924395292724004,"Not Significant"
"1553409_at",-2.92142857142857,3.73214285714286,-2.59603116725134,0.0150570488965823,0.808277465020327,-4.58682523119795,0.0924395292724004,"Not Significant"
"1552904_at",2.27142857142857,2.97857142857143,2.56286931760319,0.0162568117543462,0.808277465020327,-4.58703167941611,0.0924395292724004,"Not Significant"
"1553134_s_at",3.5,4.01428571428571,2.56055699576112,0.0163436932504037,0.808277465020327,-4.58704605339947,0.0924395292724004,"Not Significant"
"1553531_at",4.33571428571429,7.01071428571429,2.54718899024083,0.0168544700291005,0.808277465020327,-4.58712909556703,0.0924395292724004,"Not Significant"
"1552463_at",-4.13571428571429,7.73214285714286,-2.5233873072144,0.0178006756169645,0.808277465020327,-4.58727670430801,0.0924395292724004,"Not Significant"
"1255_g_at",-2.40714285714286,4.33214285714286,-2.49854874370154,0.0188403061071295,0.808277465020327,-4.5874303882505,0.0924395292724004,"Not Significant"
"1552586_at",-7.07857142857143,18.4107142857143,-2.49583682056215,0.0189571480088287,0.808277465020327,-4.58744714492079,0.0924395292724004,"Not Significant"
"1552760_at",-1.82857142857143,2.52857142857143,-2.46594106440492,0.0202902512196771,0.808277465020327,-4.58763155640431,0.0924395292724004,"Not Significant"
"1552950_at",3.05714285714286,3.44285714285714,2.44881096506551,0.0210925021720235,0.808277465020327,-4.5877369567244,0.0924395292724004,"Not Significant"
"1553142_at",5.12857142857143,8.17857142857143,2.41812811128263,0.0226027653158389,0.808277465020327,-4.58792523411987,0.0924395292724004,"Not Significant"
"1552715_a_at",4,5.55,2.37423735347036,0.0249359769413256,0.808277465020327,-4.58819334416442,0.0924395292724004,"Not Significant"
"1552851_at",2.62857142857143,3.05,2.37049830812544,0.0251445930002935,0.808277465020327,-4.58821611497676,0.0924395292724004,"Not Significant"
"1553028_at",-3.59285714285714,4.80357142857143,-2.35170073324805,0.0262177452944322,0.808277465020327,-4.58833042032515,0.0924395292724004,"Not Significant"
"1553176_at",3.82142857142857,5.74642857142857,2.34611524324363,0.0265445820410158,0.808277465020327,-4.58836432864739,0.0924395292724004,"Not Significant"
"1553071_a_at",4.39285714285714,6.46071428571429,2.33816773257836,0.0270160396608788,0.808277465020327,-4.5884125310262,0.0924395292724004,"Not Significant"
"1552436_a_at",1.84285714285714,2.59285714285714,2.31487442267821,0.0284421119991046,0.808277465020327,-4.5885534941686,0.0924395292724004,"Not Significant"
"1552480_s_at",5.89285714285714,8.68928571428571,2.31230184307058,0.0286037399565503,0.808277465020327,-4.58856903336885,0.0924395292724004,"Not Significant"
"1552674_at",-2.52142857142857,3.54642857142857,-2.30851207419375,0.0288433620078014,0.808277465020327,-4.58859191403156,0.0924395292724004,"Not Significant"
"1552548_at",2.74285714285714,5.37142857142857,2.28517853703785,0.0303593292224086,0.808277465020327,-4.58873250302671,0.0924395292724004,"Not Significant"
"1553367_a_at",6.17857142857143,7.63214285714286,2.28392157592256,0.0304430092288667,0.808277465020327,-4.58874006222812,0.0924395292724004,"Not Significant"
"1552303_a_at",15.9214285714286,39.9535714285714,2.26937051281921,0.0314270576839555,0.808277465020327,-4.588827462287,0.0924395292724004,"Not Significant"
"1552732_at",2.57857142857143,4.54642857142857,2.26901780738961,0.0314512638592792,0.808277465020327,-4.58882957829733,0.0924395292724004,"Not Significant"
"1552932_at",-3.63571428571429,5.09642857142857,-2.25671514250784,0.0323062317417815,0.808277465020327,-4.58890331162322,0.0924395292724004,"Not Significant"
"1553140_at",6.80714285714286,15.1321428571429,2.24768965367945,0.0329467636816301,0.808277465020327,-4.58895731023482,0.0924395292724004,"Not Significant"
"1552691_at",6.29285714285714,11.8178571428571,2.23588870845125,0.0338015759861102,0.808277465020327,-4.58902779245249,0.0924395292724004,"Not Significant"
"1553511_at",8.55,17.5535714285714,2.20862177990677,0.0358537179609141,0.808277465020327,-4.58919010616694,0.0924395292724004,"Not Significant"
"1552506_at",-2.60714285714286,4.43928571428571,-2.19732384500454,0.0367364014069224,0.808277465020327,-4.58925713345134,0.0924395292724004,"Not Significant"
"1553072_at",2.27857142857143,3.16785714285714,2.19045226418347,0.0372827747031497,0.808277465020327,-4.5892978340664,0.0924395292724004,"Not Significant"
"1553497_at",2.8,3.14285714285714,2.16811423374539,0.0391097181092776,0.808277465020327,-4.58942978899618,0.0924395292724004,"Not Significant"
"1552872_at",7.54285714285715,10.85,2.16221633119703,0.0396052964599535,0.808277465020327,-4.58946453713614,0.0924395292724004,"Not Significant"
"1553003_at",-4.47857142857143,10.2821428571429,-2.15528391245327,0.0401949899398591,0.808277465020327,-4.58950533035485,0.0924395292724004,"Not Significant"
"1553002_at",4.27142857142857,11.8785714285714,2.14334367776559,0.0412291162076813,0.808277465020327,-4.58957546378256,0.0924395292724004,"Not Significant"
"1553318_at",3.26428571428572,6.73214285714286,2.14162206401236,0.0413801695359226,0.808277465020327,-4.58958556256394,0.0924395292724004,"Not Significant"
"1553103_at",93.1285714285714,205.764285714286,2.14017342961967,0.0415076549800649,0.808277465020327,-4.58959405743223,0.0924395292724004,"Not Significant"
"1552557_a_at",2.66428571428571,8.31071428571429,2.11574815709649,0.0437106648831161,0.808277465020327,-4.58973691944082,0.0924395292724004,"Not Significant"
"1552933_at",3.41428571428571,6,2.11156184386494,0.0440985419333269,0.808277465020327,-4.58976133404514,0.0924395292724004,"Not Significant"
"1553575_at",35.3857142857143,110.228571428571,2.10205865661973,0.0449904521132417,0.808277465020327,-4.58981667837228,0.0924395292724004,"Not Significant"
