"","GSM2233086","GSM2233087","GSM2233088","GSM2233089","GSM2233090","GSM2233091","GSM2233092","GSM2233093","GSM2233094","GSM2233095","GSM2233096","GSM2233097","GSM2233098","GSM2233099","GSM2233100","GSM2233101","GSM2233102","GSM2233103","GSM2233104","GSM2233105","GSM2233106","GSM2233107","GSM2233108","GSM2233109","GSM2233110","GSM2233111","GSM2233112","GSM2233113"
"1007_s_at",31.5,132.7,121.7,66.9,133.6,71.7,235.9,90.2,85.8,48.8,135.3,33.8,312.6,160.7,139.6,98.7,204.1,55.8,285.9,52,194.9,75.5,76.9,89.4,68.4,57.6,93.5,61.4
"1053_at",11.4,70.3,148.7,36.1,116.7,44,43.5,62.5,147.7,32.1,34.4,14.9,103.6,26.4,76.1,61.6,33.9,29,45.9,38.6,109.3,49.9,34.1,22.1,47.6,22.5,46,35
"117_at",5,72.8,71.1,42.3,37.8,40.2,1067,38.6,33.1,29.9,28.7,19.2,63.5,68.9,38.9,35.5,22.4,33.9,61.7,25.5,47,44.1,27.6,28.3,21,29,33.5,39
"121_at",38.3,102.6,105.5,61.2,122.6,75.2,81.9,68.2,104.6,56.6,79.9,56.1,135.1,61.5,166.1,127.1,65.6,63.3,99.8,50.8,91.7,67.9,50.5,42.6,41.6,47,79.6,57.8
"1255_g_at",5.4,2.3,6.5,0.6,3.1,1.9,1.8,1,2.4,4.6,4.9,2.4,2.3,4.6,12.1,2.3,2.1,8.9,7.7,4.3,5.7,3,5.8,5.1,9,5.5,2.7,3.3
"1294_at",38.9,81.2,107.4,59.6,72.5,44.3,46.3,86.3,110.7,57.2,53,44.8,107.6,65.9,85.5,77.6,30.1,52,79.9,51.3,58,62.3,23.8,56.7,84.7,63.7,57.2,31.1
"1316_at",9,21,29.1,29.4,11.1,24.5,34,25.9,33.6,24.2,22.7,6.3,24.9,25.1,42,45.4,10.1,21.5,33.5,9.2,20.3,35.1,26.2,6.3,32.8,25.4,30.5,21.9
"1320_at",1.6,17.4,8.5,1.6,3.3,5,3.6,2.9,16.5,8.1,2.2,2.2,3.4,6.2,4,7,6.4,2.9,9.6,9.2,26.4,14.3,1,3.3,1.3,1,1.1,2.6
"1405_i_at",2,334.5,75.9,71,10.1,55.7,44.8,109.9,26.6,140.4,33,167.8,128.8,222.9,39.5,60.1,28.3,91.9,731.7,159.7,220.6,170.2,18.6,87.7,80.5,111.2,31.9,142.6
"1431_at",2807,6198.5,4598.7,6064.3,8354.5,5672.4,1242.7,6546.9,1240.6,3620.7,2758.5,5525,3811.6,3043.7,5524.3,5943.3,2488.1,4873.1,2887.5,5532.2,1394.5,6926.6,24.7,1368.4,738.1,3810.8,175.6,3843.9
