"","GSM2233086","GSM2233087","GSM2233088","GSM2233089","GSM2233090","GSM2233091","GSM2233092","GSM2233093","GSM2233094","GSM2233095","GSM2233096","GSM2233097","GSM2233098","GSM2233099","GSM2233100","GSM2233101","GSM2233102","GSM2233103","GSM2233104","GSM2233105","GSM2233106","GSM2233107","GSM2233108","GSM2233109","GSM2233110","GSM2233111","GSM2233112","GSM2233113"
"1431_at",2807,6198.5,4598.7,6064.3,8354.5,5672.4,1242.7,6546.9,1240.6,3620.7,2758.5,5525,3811.6,3043.7,5524.3,5943.3,2488.1,4873.1,2887.5,5532.2,1394.5,6926.6,24.7,1368.4,738.1,3810.8,175.6,3843.9
"1553551_s_at",7337.9,6394.6,7502.2,6339,11363.5,6936.1,9210.3,5440.4,5808.8,1898.5,6159,8359,9691.4,5252,9320.6,7436,4501.5,6521.7,6126.6,6742.2,8871.9,7808.1,6787.2,5634.6,5167.6,3712,6740.8,4575.7
"1553538_s_at",5771.7,8864,8411.5,7759,11192.6,8527.3,8294.6,6935.3,7331.8,4345.9,7177.9,9935.2,9982.2,5064.9,11511.3,9679.5,8269.6,8738.1,5982.7,7501.9,8864.7,9597.6,7154.1,6528.8,6626.1,5309.5,7544.1,6220
"1553569_at",7719.4,10729.8,10365.3,9644.4,12543.3,9613.4,9539.1,9298.6,7732.9,6614.5,7861.1,9092.6,11172.3,6248.2,11087.9,9833,7050.3,8586.9,6922.9,8629.7,9351.9,10021,7777.3,7452.6,7248.6,6576.6,8586.8,7854
"1553588_at",9620.4,11012.7,10179.2,9357.5,12554.1,10535.8,10225.5,9247.9,8967.1,6503,8358.1,10522.9,10475.6,7151.7,11361.6,9770.1,7081.9,8389.6,7293.8,8785.4,9188.5,9907.2,7980.2,7710.3,8402.4,7296.6,8603.8,7971.4
"1553570_x_at",7781.5,11044.2,10593.4,9776.8,12414.2,9937.6,9821.6,9329.6,7971.1,7472.2,7987.2,9266.3,10892.3,7289.5,11099.2,10093.8,7168.5,8676.2,7158.2,8869.6,9314.4,9512.8,7828.4,7452.2,7455.9,6991.9,8375.6,8106.5
"1494_f_at",152.3,1808.3,613,1013.5,128.5,555,29.6,228.2,72.3,1937.4,117.7,2052.5,62.4,1875.2,307.4,2376.2,140,3592.5,303.1,3765.2,264.9,3521.6,50.4,1593.2,178.8,334.7,407.8,2514.6
"1553567_s_at",8289.3,8860.9,8241.9,7683.4,9929.8,8127.9,8121.1,6718.7,7434.2,5757.7,6319.3,8026.3,8193,5849.8,9665.4,8202.4,6750,7253,6259.4,7447.2,7318.8,7730.7,6005.9,5806,6469.1,6321.5,7164.8,6444.9
"1552362_a_at",248.4,2664.6,793.5,1477.1,2009,1214.8,316.9,2606.6,329.4,2381.4,661.9,1538.1,1154.4,765.9,1446,1694,1003.9,1606.7,664.3,2739.3,3989.6,2536.2,186.5,923.8,1031.8,1764.6,316.6,963
"1552256_a_at",104.9,486.6,416.9,303.9,486.6,386,253.9,726.7,594.3,293.1,665.4,280.9,2107.1,486.5,480.3,526.7,340.8,368.4,143.9,579.5,1487.6,566.4,798.6,158.1,918.4,273.9,526.7,191.4
"1553530_a_at",68.7,748.5,1286,315.1,804.4,375.3,569.8,526.9,1412.4,463.5,423.1,137.7,827.4,638.3,847.5,606.6,301.5,269.2,747.7,392.1,1578.9,566.6,355,247.8,379.4,119.1,273.3,334.3
"1552474_a_at",132.9,560.8,374.2,285.6,386.8,332.1,129.7,369,85.2,228.3,222.9,485.6,605,312.5,626.6,847.9,408.7,567,197.6,566.5,204.7,720.6,178.3,314.9,321.3,261.2,130.4,557.9
"117_at",5,72.8,71.1,42.3,37.8,40.2,1067,38.6,33.1,29.9,28.7,19.2,63.5,68.9,38.9,35.5,22.4,33.9,61.7,25.5,47,44.1,27.6,28.3,21,29,33.5,39
"1552307_a_at",92.6,376.3,231.4,371.7,607.7,283.7,290.3,150,385.9,214.7,85.7,168,98.4,110.3,881.3,450.9,232.8,324.2,52.5,237.9,424.4,484,138.6,141.3,145.9,198.9,292.8,336.2
"1553583_a_at",31.9,406.8,143.7,208.6,536.1,82,27,61.4,22.4,410.7,21.7,145.4,7.2,52.8,19.5,114.6,10.3,147.7,49.6,585.3,22.5,231.5,10,16.7,33.2,52.6,6.3,69.5
"1552281_at",40.1,273.8,145.4,126.1,215.8,125.8,48.8,140.6,90.8,166.5,253.3,220.5,849.1,111.6,152.8,228.9,148.9,199,56.2,323.9,337.6,332.2,128.5,69.1,47.9,107.4,202.9,131.1
